MOLECULE_DESC,MAT FEB'24,MAT FEB'26,QTY MAT FEB'26,CAGR,Market Share
ATENOLOL + CHLORTALIDONE,24.4,24.3,37181,-0.0020512842113266094,0.0010461241745090106
ATENOLOL + HYDROCHLOROTHIAZIDE,1.9000000000000001,1.6,1918,-0.08233706451775291,6.888060408289782e-05
ATENOLOL + HYDROCHLOROTHIAZIDE + LOSARTAN POTASSIUM SALT,6.800000000000001,6.2,4342,-0.045136289367769034,0.00026691234082122905
ATENOLOL + INDAPAMIDE,6.6,6.3,6575,-0.02299157908160554,0.0002712173785764101
ATENOLOL + LERCANIDIPINE HYDROCHLORIDE,0.0,0.0,5,0.0,0.0
ATENOLOL + LEVAMLODIPINE BESILATE,45.7,43.0,53056,-0.029990187060396467,0.0018511662347278786
ATENOLOL + LOSARTAN,0.0,0.0,0,0.0,0.0
ATENOLOL + LOSARTAN POTASSIUM SALT,13.2,11.8,8161,-0.054516317465291175,0.0005079944551113714
ATENOLOL + NIFEDIPINE,11.4,11.8,11856,0.017392608238454788,0.0005079944551113714
ATENOLOL + NITRENDIPINE,0.0,0.0,0,0.0,0.0
ATORVASTATIN CALCIUM SALT,880.0,989.1,1449291,0.06017794389775566,0.04258112843649639
ATORVASTATIN CALCIUM SALT + BEMPEDOIC ACID,0.5,0.0,5,-1.0,0.0
ATORVASTATIN CALCIUM SALT + CHOLINE FENOFIBRATE,0.0,0.0,8,0.0,0.0
ATORVASTATIN CALCIUM SALT + CLOPIDOGREL,9.3,11.2,10060,0.09740652233746872,0.0004821642285802846
ATORVASTATIN CALCIUM SALT + CLOPIDOGREL BESILATE,2.5999999999999996,3.2,3302,0.1094003924504583,0.00013776120816579563
ATORVASTATIN CALCIUM SALT + CLOPIDOGREL BISULFATE,352.5,432.40000000000003,256989,0.10754984838907666,0.018614983253403133
ATORVASTATIN CALCIUM SALT + COLECALCIFEROL,19.3,16.7,12715,-0.06979304770751993,0.0007189413051152459
ATORVASTATIN CALCIUM SALT + COLECALCIFEROL + CYANOCOBALAMIN + FOLIC ACID + PYRIDOXAL 5-PHOSPHATE,0.0,0.0,0,0.0,0.0
ATORVASTATIN CALCIUM SALT + EZETIMIBE,45.7,91.3,38567,0.41343971084463305,0.0039304994704803566
ATORVASTATIN CALCIUM SALT + EZETIMIBE + FENOFIBRATE,4.4,5.8,2537,0.14812099457409889,0.00024969218980050456
ATORVASTATIN CALCIUM SALT + FENOFIBRATE,210.0,258.4,172649,0.10926831311283314,0.011124217559387995
ATORVASTATIN CALCIUM SALT + FENOFIBRIC ACID,0.0,0.0,16,0.0,0.0
ATORVASTATIN CALCIUM SALT + FOLIC ACID + MECOBALAMIN + PYRIDOXINE HYDROCHLORIDE,0.0,0.0,7,0.0,0.0
ATORVASTATIN CALCIUM SALT + LEVAMLODIPINE BESILATE,0.5,0.7,569,0.18321595661992318,3.013526428626779e-05
ATORVASTATIN CALCIUM SALT + METOPROLOL TARTRATE + RAMIPRIL,0.0,0.0,0,0.0,0.0
ATORVASTATIN CALCIUM SALT + NICOTINIC ACID,0.8,0.7,407,-0.06458565330651467,3.013526428626779e-05
ATORVASTATIN CALCIUM SALT + OLMESARTAN MEDOXOMIL,0.0,0.0,9,0.0,0.0
ATORVASTATIN CALCIUM SALT + RAMIPRIL,5.1,4.8,2356,-0.029857499854668124,0.00020664181224869344
ATORVASTATIN CALCIUM SALT + RAMIPRIL + S-METOPROLOL TARTRATE,0.1,0.0,0,-1.0,0.0
ATORVASTATIN CALCIUM SALT + TELMISARTAN,9.1,10.899999999999999,6185,0.0944415004020076,0.0004692491153147413
AZELNIDIPINE,26.0,28.4,25275,0.045135250724848586,0.0012226307224714361
AZELNIDIPINE + CHLORTALIDONE,0.0,0.0,0,0.0,0.0
AZELNIDIPINE + METOPROLOL TARTRATE,0.0,0.7,578,0.0,3.013526428626779e-05
AZELNIDIPINE + OLMESARTAN MEDOXOMIL,6.3,5.4,3610,-0.07417990022744847,0.00023247203877978012
AZELNIDIPINE + TELMISARTAN,23.8,24.6,18246,0.016667814666202263,0.0010590392877745539
AZILSARTAN MEDOXOMIL,35.1,27.0,23424,-0.1229419806929708,0.0011623601938989005
AZILSARTAN MEDOXOMIL + CHLORTALIDONE,12.6,9.4,7062,-0.13626870727537832,0.00040467354898702466
